case_id,initial_speed_kph,mu,replicate,pressure_seed,stop_time_s,run_file
1,20,0.2,1,42,6,
2,40,0.2,1,43,6,
3,60,0.2,1,44,6,
4,80,0.2,1,45,6,
5,100,0.2,1,46,6,
6,120,0.2,1,47,6,
7,20,0.4,1,48,6,
8,40,0.4,1,49,6,
9,60,0.4,1,50,6,
10,80,0.4,1,51,6,
11,100,0.4,1,52,6,
12,120,0.4,1,53,6,
13,20,0.6,1,54,6,
14,40,0.6,1,55,6,
15,60,0.6,1,56,6,
16,80,0.6,1,57,6,
17,100,0.6,1,58,6,
18,120,0.6,1,59,6,
19,20,0.8,1,60,6,
20,40,0.8,1,61,6,
21,60,0.8,1,62,6,
22,80,0.8,1,63,6,
23,100,0.8,1,64,6,
24,120,0.8,1,65,6,
25,20,0.2,2,66,6,
26,40,0.2,2,67,6,
27,60,0.2,2,68,6,
28,80,0.2,2,69,6,
29,100,0.2,2,70,6,
30,120,0.2,2,71,6,
31,20,0.4,2,72,6,
32,40,0.4,2,73,6,
33,60,0.4,2,74,6,
34,80,0.4,2,75,6,
35,100,0.4,2,76,6,
36,120,0.4,2,77,6,
37,20,0.6,2,78,6,
38,40,0.6,2,79,6,
39,60,0.6,2,80,6,
40,80,0.6,2,81,6,
41,100,0.6,2,82,6,
42,120,0.6,2,83,6,
43,20,0.8,2,84,6,
44,40,0.8,2,85,6,
45,60,0.8,2,86,6,
46,80,0.8,2,87,6,
47,100,0.8,2,88,6,
48,120,0.8,2,89,6,
49,20,0.2,3,90,6,
50,40,0.2,3,91,6,
51,60,0.2,3,92,6,
52,80,0.2,3,93,6,
53,100,0.2,3,94,6,
54,120,0.2,3,95,6,
55,20,0.4,3,96,6,
56,40,0.4,3,97,6,
57,60,0.4,3,98,6,
58,80,0.4,3,99,6,
59,100,0.4,3,100,6,
60,120,0.4,3,101,6,
61,20,0.6,3,102,6,
62,40,0.6,3,103,6,
63,60,0.6,3,104,6,
64,80,0.6,3,105,6,
65,100,0.6,3,106,6,
66,120,0.6,3,107,6,
67,20,0.8,3,108,6,
68,40,0.8,3,109,6,
69,60,0.8,3,110,6,
70,80,0.8,3,111,6,
71,100,0.8,3,112,6,
72,120,0.8,3,113,6,
73,20,0.2,4,114,6,
74,40,0.2,4,115,6,
75,60,0.2,4,116,6,
76,80,0.2,4,117,6,
77,100,0.2,4,118,6,
78,120,0.2,4,119,6,
79,20,0.4,4,120,6,
80,40,0.4,4,121,6,
81,60,0.4,4,122,6,
82,80,0.4,4,123,6,
83,100,0.4,4,124,6,
84,120,0.4,4,125,6,
85,20,0.6,4,126,6,
86,40,0.6,4,127,6,
87,60,0.6,4,128,6,
88,80,0.6,4,129,6,
89,100,0.6,4,130,6,
90,120,0.6,4,131,6,
91,20,0.8,4,132,6,
92,40,0.8,4,133,6,
93,60,0.8,4,134,6,
94,80,0.8,4,135,6,
95,100,0.8,4,136,6,
96,120,0.8,4,137,6,
97,20,0.2,5,138,6,
98,40,0.2,5,139,6,
99,60,0.2,5,140,6,
100,80,0.2,5,141,6,
101,100,0.2,5,142,6,
102,120,0.2,5,143,6,
103,20,0.4,5,144,6,
104,40,0.4,5,145,6,
105,60,0.4,5,146,6,
106,80,0.4,5,147,6,
107,100,0.4,5,148,6,
108,120,0.4,5,149,6,
109,20,0.6,5,150,6,
110,40,0.6,5,151,6,
111,60,0.6,5,152,6,
112,80,0.6,5,153,6,
113,100,0.6,5,154,6,
114,120,0.6,5,155,6,
115,20,0.8,5,156,6,
116,40,0.8,5,157,6,
117,60,0.8,5,158,6,
118,80,0.8,5,159,6,
119,100,0.8,5,160,6,
120,120,0.8,5,161,6,
