case_id,initial_speed_kph,mu,row_count,observed_initial_speed_kph,observed_final_speed_kph,maximum_pressure_mpa,minimum_acceleration_mps2,speed_error_kph,valid
1,20,0.2,120,20.000000000016,0,3.68696684850912,-1.77563981072062,1.60014224093175e-11,1
2,40,0.2,120,40.000000000032,5.70372442823438,9.38047132647698,-1.78013309083331,3.20028448186349e-11,1
3,60,0.2,120,60.000000000048,21.9938130625976,9.55710003669766,-1.82592901054529,4.80184780826676e-11,1
4,80,0.2,120,80.000000000064,41.3256802106651,9.52159299090651,-1.88269616640246,6.40056896372698e-11,1
5,100,0.2,120,100.00000000008,60.4555677067445,7.41894658240397,-1.95669696263601,8.00071120465873e-11,1
6,120,0.2,120,120.000000000096,81.3171090832832,8.90848862566352,-2.01499589216669,9.60369561653351e-11,1
7,20,0.4,99,20.000000000016,0,7.51426156784844,-3.65144129807204,1.60014224093175e-11,1
8,40,0.4,106,40.000000000032,0,9.71815069572019,-3.65084346422501,3.20028448186349e-11,1
9,60,0.4,120,60.000000000048,0.00478672007961146,9.4587687109162,-3.63517718909863,4.80184780826676e-11,1
10,80,0.4,120,80.000000000064,5.57244408901905,6.33787303065577,-3.65235919235045,6.40056896372698e-11,1
11,100,0.4,120,100.00000000008,25.6396743299555,6.88179837138447,-3.64604804134774,8.00071120465873e-11,1
12,120,0.4,120,120.000000000096,47.6289323435409,8.06082768104639,-3.72686935927658,9.60369561653351e-11,1
13,20,0.6,68,20.000000000016,0,4.19490722207841,-5.24635567735421,1.60014224093175e-11,1
14,40,0.6,105,40.000000000032,0.000308554731474939,9.71946732576485,-5.39598803603854,3.20028448186349e-11,1
15,60,0.6,110,60.000000000048,0.00032582529041649,10,-5.42353221353388,4.80184780826676e-11,1
16,80,0.6,120,80.000000000064,0.104019082420538,6.85054947386271,-5.5151082484904,6.40056896372698e-11,1
17,100,0.6,120,100.00000000008,1.58752966289965,9.99715028183855,-5.57329607067531,8.00071120465873e-11,1
18,120,0.6,120,120.000000000096,8.24847695189445,9.53767697188305,-5.58163354988459,9.60369561653351e-11,1
19,20,0.8,64,20.000000000016,0.000600810951887693,9.00420789295131,-7.04141801465115,1.60014224093175e-11,1
20,40,0.8,75,40.000000000032,0,6.7430185981477,-7.41671076703528,3.20028448186349e-11,1
21,60,0.8,106,60.000000000048,0.000498919231997934,9.11500002506008,-7.39592286891027,4.80184780826676e-11,1
22,80,0.8,108,80.000000000064,0.000602705727560879,9.4398558788031,-7.30247836146326,6.40056896372698e-11,1
23,100,0.8,120,100.00000000008,0,8.04330516956327,-7.33370142846558,8.00071120465873e-11,1
24,120,0.8,120,120.000000000096,31.5089091400736,6.32816999651917,-7.54753632084862,9.60369561653351e-11,1
25,20,0.2,109,20.000000000016,0,7.84000213517225,-1.78891834307933,1.60014224093175e-11,1
26,40,0.2,120,40.000000000032,2.48222199070416,9.59101416373641,-1.77880032126098,3.20028448186349e-11,1
27,60,0.2,120,60.000000000048,22.4986800774975,9.45233115669981,-1.83038873261135,4.80184780826676e-11,1
28,80,0.2,120,80.000000000064,41.5082260889912,6.59217230560488,-1.86555815756772,6.40056896372698e-11,1
29,100,0.2,120,100.00000000008,60.3884758742558,9.50027291902893,-1.93500294580968,8.00071120465873e-11,1
30,120,0.2,120,120.000000000096,79.4950090291362,9.69937117070724,-2.00577877843229,9.60369561653351e-11,1
31,20,0.4,88,20.000000000016,9.94167018825969e-05,6.01441908885177,-3.60047828209103,1.60014224093175e-11,1
32,40,0.4,105,40.000000000032,2.65080594914947e-06,8.6147586639043,-3.6514289661771,3.20028448186349e-11,1
33,60,0.4,120,60.000000000048,0.0903242502391594,6.15197513684234,-3.64097930110513,4.80184780826676e-11,1
34,80,0.4,120,80.000000000064,15.5448116712368,7.61785140369428,-3.63056719794213,6.40056896372698e-11,1
35,100,0.4,120,100.00000000008,29.2465936724295,8.82335913201774,-3.74288603392521,8.00071120465873e-11,1
36,120,0.4,120,120.000000000096,43.4046662190183,8.53839549312947,-3.71106913591294,9.60369561653351e-11,1
37,20,0.6,85,20.000000000016,0,5.58521710823288,-4.94502420811457,1.60014224093175e-11,1
38,40,0.6,87,40.000000000032,0.000205293003331482,8.94091488397812,-5.50012927249035,3.20028448186349e-11,1
39,60,0.6,106,60.000000000048,0.000261565682267727,9.48833763181874,-5.47864397077935,4.80184780826676e-11,1
40,80,0.6,120,80.000000000064,0,5.50554980508406,-5.50077459504817,6.40056896372698e-11,1
41,100,0.6,120,100.00000000008,35.8234773022355,8.02069948694432,-5.38856158489624,8.00071120465873e-11,1
42,120,0.6,120,120.000000000096,37.5941800032898,3.86420440032008,-5.46539972401125,9.60369561653351e-11,1
43,20,0.8,72,20.000000000016,0.000547128573184276,8.40494724099811,-7.40590757317104,1.60014224093175e-11,1
44,40,0.8,75,40.000000000032,0.000584756656224403,9.38612677035447,-7.2767703068385,3.20028448186349e-11,1
45,60,0.8,97,60.000000000048,0.00058722730195796,8.12084393197794,-7.34364808833524,4.80184780826676e-11,1
46,80,0.8,108,80.000000000064,0.000216325447718414,8.11973375883805,-7.37960714438446,6.40056896372698e-11,1
47,100,0.8,120,100.00000000008,0,8.10977576845636,-7.32850292493344,8.00071120465873e-11,1
48,120,0.8,120,120.000000000096,16.6282316513648,6.4386416367555,-7.33096093417117,9.60369561653351e-11,1
49,20,0.2,107,20.000000000016,0,10,-1.77601455169682,1.60014224093175e-11,1
50,40,0.2,120,40.000000000032,3.46853000075988,7.40138486674328,-1.79903471894644,3.20028448186349e-11,1
51,60,0.2,120,60.000000000048,22.1045452209143,9.37254987120817,-1.83098702436815,4.80184780826676e-11,1
52,80,0.2,120,80.000000000064,41.4061680985326,8.7026774827401,-1.87811514158197,6.40056896372698e-11,1
53,100,0.2,120,100.00000000008,60.410384827055,7.14641644953423,-1.95200562410556,8.00071120465873e-11,1
54,120,0.2,120,120.000000000096,79.4506921714899,9.0538152770442,-1.99512185413875,9.60369561653351e-11,1
55,20,0.4,81,20.000000000016,1.62380422267847e-05,4.99288376184368,-3.64144699492988,1.60014224093175e-11,1
56,40,0.4,104,40.000000000032,0.0001230697635389,8.26504956926694,-3.56234956522612,3.20028448186349e-11,1
57,60,0.4,120,60.000000000048,0.00142822546725395,10,-3.60740560524803,4.80184780826676e-11,1
58,80,0.4,120,80.000000000064,4.98096690917196,8.02246187377148,-3.65381176873963,6.40056896372698e-11,1
59,100,0.4,120,100.00000000008,27.7427748398959,6.72339800799039,-3.74340804829259,8.00071120465873e-11,1
60,120,0.4,120,120.000000000096,44.250875807625,6.6549567278983,-3.79117660481155,9.60369561653351e-11,1
61,20,0.6,63,20.000000000016,0.000301005450473179,6.08415508269789,-5.41470783715523,1.60014224093175e-11,1
62,40,0.6,85,40.000000000032,0.00034616880518586,9.00644059695392,-5.38008703493916,3.20028448186349e-11,1
63,60,0.6,120,60.000000000048,0.00192162867685564,7.77424740033271,-5.44573035445738,4.80184780826676e-11,1
64,80,0.6,120,80.000000000064,0.00235063836702294,9.10221908090984,-5.55891811396406,6.40056896372698e-11,1
65,100,0.6,120,100.00000000008,27.9522536493008,7.9273535099604,-5.53292059039763,8.00071120465873e-11,1
66,120,0.6,120,120.000000000096,24.6823683724849,8.89993340893023,-5.61267456587354,9.60369561653351e-11,1
67,20,0.8,75,20.000000000016,0.000590003046484934,6.62123311467028,-7.19233465160667,1.60014224093175e-11,1
68,40,0.8,75,40.000000000032,0,7.90745492159998,-7.26970566265741,3.20028448186349e-11,1
69,60,0.8,120,60.000000000048,0,7.73662199059521,-7.29746629071626,4.80184780826676e-11,1
70,80,0.8,120,80.000000000064,0,6.49570938101029,-7.22682994323928,6.40056896372698e-11,1
71,100,0.8,120,100.00000000008,0.0156991986194161,7.42264389086961,-7.36342201454404,8.00071120465873e-11,1
72,120,0.8,120,120.000000000096,0.000809937817989031,8.92858740613543,-7.49636519400578,9.60369561653351e-11,1
73,20,0.2,108,20.000000000016,0,9.13860050734475,-1.79592855047565,1.60014224093175e-11,1
74,40,0.2,120,40.000000000032,3.04907305619416,10,-1.8093245040046,3.20028448186349e-11,1
75,60,0.2,120,60.000000000048,22.154900825569,9.35779112470218,-1.83940148893733,4.80184780826676e-11,1
76,80,0.2,120,80.000000000064,41.4917171504181,8.53082149401771,-1.86046822175394,6.40056896372698e-11,1
77,100,0.2,120,100.00000000008,60.4130000751926,10,-1.94314494273295,8.00071120465873e-11,1
78,120,0.2,120,120.000000000096,79.2298531394644,7.68529752923576,-2.01832994747911,9.60369561653351e-11,1
79,20,0.4,73,20.000000000016,0.000171574769030524,6.7697862939232,-3.54310415000795,1.60014224093175e-11,1
80,40,0.4,111,40.000000000032,8.94664862227113e-05,9.13299929415459,-3.61041667911419,3.20028448186349e-11,1
81,60,0.4,120,60.000000000048,0,8.39898987311433,-3.65245446665747,4.80184780826676e-11,1
82,80,0.4,120,80.000000000064,5.12778979122095,8.33820468504205,-3.62402801552874,6.40056896372698e-11,1
83,100,0.4,120,100.00000000008,47.4031094534688,6.79945286375983,-3.67777918937244,8.00071120465873e-11,1
84,120,0.4,120,120.000000000096,43.9862349790782,4.63117807937651,-3.80161451136199,9.60369561653351e-11,1
85,20,0.6,70,20.000000000016,0.000267768604051837,8.56590594711511,-5.44477070631236,1.60014224093175e-11,1
86,40,0.6,88,40.000000000032,0,4.86531290583232,-5.43422730861067,3.20028448186349e-11,1
87,60,0.6,110,60.000000000048,0.000326258476383543,9.2806251812736,-5.48302574773759,4.80184780826676e-11,1
88,80,0.6,120,80.000000000064,0,5.24567225615135,-5.55145573396224,6.40056896372698e-11,1
89,100,0.6,120,100.00000000008,0,9.40855427745206,-5.49810514301054,8.00071120465873e-11,1
90,120,0.6,120,120.000000000096,11.257825736971,6.62270733587981,-5.66632071850973,9.60369561653351e-11,1
91,20,0.8,57,20.000000000016,0.000612431302899497,8.4020722312525,-7.42355586466212,1.60014224093175e-11,1
92,40,0.8,78,40.000000000032,0.000529282175245951,9.18241828746889,-7.18823433957884,3.20028448186349e-11,1
93,60,0.8,89,60.000000000048,0,9.11108674963872,-7.40294916951242,4.80184780826676e-11,1
94,80,0.8,106,80.000000000064,0.000625600120194404,10,-7.37229639512327,6.40056896372698e-11,1
95,100,0.8,120,100.00000000008,2.7175676920226,8.90799905970319,-7.22514075705105,8.00071120465873e-11,1
96,120,0.8,120,120.000000000096,0.0269810141789751,8.38531534772638,-7.50002449802764,9.60369561653351e-11,1
97,20,0.2,104,20.000000000016,0,8.02965923092515,-1.80138042052492,1.60014224093175e-11,1
98,40,0.2,120,40.000000000032,2.46907272859906,9.53579438896802,-1.80629433169223,3.20028448186349e-11,1
99,60,0.2,120,60.000000000048,22.1105161740834,7.84190664965361,-1.82238222818059,4.80184780826676e-11,1
100,80,0.2,120,80.000000000064,41.3594771174339,9.42678446545155,-1.88576289755253,6.40056896372698e-11,1
101,100,0.2,120,100.00000000008,60.4471059249766,9.99962119217536,-1.9305828275925,8.00071120465873e-11,1
102,120,0.2,120,120.000000000096,80.5560782232206,7.86005896261162,-2.02702039544657,9.60369561653351e-11,1
103,20,0.4,89,20.000000000016,6.68693365219238e-05,8.83017553355115,-3.62753712907214,1.60014224093175e-11,1
104,40,0.4,107,40.000000000032,0.000124587297477982,8.19999668855867,-3.64242049095073,3.20028448186349e-11,1
105,60,0.4,120,60.000000000048,0.00513169563382374,9.45028720352668,-3.61440445819837,4.80184780826676e-11,1
106,80,0.4,120,80.000000000064,5.82260842794869,9.81254046662243,-3.69592397979033,6.40056896372698e-11,1
107,100,0.4,120,100.00000000008,32.2757300991023,9.76244233766179,-3.70277075179711,8.00071120465873e-11,1
108,120,0.4,120,120.000000000096,52.1144605300569,9.24821879872729,-3.72761891192664,9.60369561653351e-11,1
109,20,0.6,62,20.000000000016,0.000304424675982105,7.32260635900886,-5.39291376293101,1.60014224093175e-11,1
110,40,0.6,104,40.000000000032,0,6.95240830425622,-5.32683722129692,3.20028448186349e-11,1
111,60,0.6,105,60.000000000048,0.000367323553121878,9.05034814022133,-5.39959340603726,4.80184780826676e-11,1
112,80,0.6,120,80.000000000064,7.95534857284702,8.52477276495863,-5.43461929975538,6.40056896372698e-11,1
113,100,0.6,120,100.00000000008,0,8.39653363482022,-5.61508429633709,8.00071120465873e-11,1
114,120,0.6,120,120.000000000096,8.44023880188447,7.35155105070161,-5.63870310988433,9.60369561653351e-11,1
115,20,0.8,75,20.000000000016,1.83703399902069e-05,8.71412346370878,-6.84610747955559,1.60014224093175e-11,1
116,40,0.8,74,40.000000000032,0.000610086673015291,9.39925207107605,-7.37432146994524,3.20028448186349e-11,1
117,60,0.8,97,60.000000000048,0.000625940337240561,9.00424962274996,-7.34715070263067,4.80184780826676e-11,1
118,80,0.8,120,80.000000000064,0,8.39235777681369,-7.45992616702157,6.40056896372698e-11,1
119,100,0.8,120,100.00000000008,0,8.82254457553508,-7.46203713535114,8.00071120465873e-11,1
120,120,0.8,120,120.000000000096,0,8.68820636009525,-7.51135594836558,9.60369561653351e-11,1
